name,price,isStock,image_url,category,source_url
Sleepy Sensitive Islak Havlu 3 x 50'li,59.95,True,https://images.migrosone.com/sanalmarket/product/31032224/31032224_1-268d78-105x105.jpg,bebek,https://www.migros.com.tr/rest/search/screens/bebek-c-9?reid=1778323219522000001
Migros Islak Havlu 45'li,13.5,True,https://images.migrosone.com/sanalmarket/product/31030141/31030141-da372d-105x105.JPG,bebek,https://www.migros.com.tr/rest/search/screens/bebek-c-9?reid=1778323219522000001
Migros Islak Havlu 3x72'li,117.95,True,https://images.migrosone.com/sanalmarket/product/31030143/31030143-d733c2-105x105.JPG,bebek,https://www.migros.com.tr/rest/search/screens/bebek-c-9?reid=1778323219522000001
Uni Baby İlk Adım Islak Mendil 3X52'li,89.95,True,https://images.migrosone.com/sanalmarket/product/31030208/31030208-74c294-105x105.jpg,bebek,https://www.migros.com.tr/rest/search/screens/bebek-c-9?reid=1778323219522000001
Molfıx Avantajlı Paket 6 No XL 15+ Kg 32'li,389.95,True,https://images.migrosone.com/sanalmarket/product/31100917/31100917_1-5b3ad9-105x105.jpg,bebek,https://www.migros.com.tr/rest/search/screens/bebek-c-9?reid=1778323219522000001
Dalin Klasik Bebek Şampuanı Ekonomik Boy 900 Ml,174.95,True,https://images.migrosone.com/sanalmarket/product/31600298/31600298_1-4d5ccf-105x105.png,bebek,https://www.migros.com.tr/rest/search/screens/bebek-c-9?reid=1778323219522000001
Canped Vücut Temizleme Havlusu 22 x 25 Cm 48'li,79.95,True,https://images.migrosone.com/sanalmarket/product/31030671/31030671-a1b4b2-105x105.jpg,bebek,https://www.migros.com.tr/rest/search/screens/bebek-c-9?reid=1778323219522000001
Uni Baby Aktif Sensitive Islak Mendil 3x52'li,134.95,True,https://images.migrosone.com/sanalmarket/product/31030086/31030086-9a0724-105x105.jpg,bebek,https://www.migros.com.tr/rest/search/screens/bebek-c-9?reid=1778323219522000001
Bebelac Gold  Konfor 3 Devam Sütü  1+ Yaş 1150 G,919.95,True,https://images.migrosone.com/sanalmarket/product/05040603/05040603_1-f6dcea-105x105.jpg,bebek,https://www.migros.com.tr/rest/search/screens/bebek-c-9?reid=1778323219522000001
Molfix Avantajlı Paket 5 Beden Junior 11-18 Kg 40'lı,389.95,True,https://images.migrosone.com/sanalmarket/product/31100916/31100916_1-72c1ba-105x105.jpg,bebek,https://www.migros.com.tr/rest/search/screens/bebek-c-9?reid=1778323219522000001
Dalin Islak Havlu 3x56'lı,154.95,True,https://images.migrosone.com/sanalmarket/product/31600273/31600273_yan-6704c5-105x105.jpg,bebek,https://www.migros.com.tr/rest/search/screens/bebek-c-9?reid=1778323219522000001
Uni Baby Biberon Ve Emzik Temizleyicısi 500Ml,119.95,True,https://images.migrosone.com/sanalmarket/product/31315624/31315624-baaf51-105x105.jpg,bebek,https://www.migros.com.tr/rest/search/screens/bebek-c-9?reid=1778323219522000001
Hipp Organik Muzlu Elmalı Armut Püresi 100 G,129.95,True,https://images.migrosone.com/sanalmarket/product/05046462/5046462_1-687ec9-105x105.jpg,bebek,https://www.migros.com.tr/rest/search/screens/bebek-c-9?reid=1778323219522000001
Molfix Avantajlı Paket 1 Beden Yenidoğan 2-5 Kg 72'li,389.95,True,https://images.migrosone.com/sanalmarket/product/31100912/31100912_1-2a6904-105x105.jpg,bebek,https://www.migros.com.tr/rest/search/screens/bebek-c-9?reid=1778323219522000001
Minies Fırsat Paketi 6 No Xlarge 15 - 27 Kg 62'li,349.95,True,https://images.migrosone.com/sanalmarket/product/31100159/31100159-68def9-105x105.jpg,bebek,https://www.migros.com.tr/rest/search/screens/bebek-c-9?reid=1778323219522000001
Hero Baby Karışık Meyve Yulaflı 120 G,42.5,True,https://images.migrosone.com/sanalmarket/product/05040625/05040625_1-8cc1eb-105x105.jpg,bebek,https://www.migros.com.tr/rest/search/screens/bebek-c-9?reid=1778323219522000001
Hipp Organik Sütlaç 125 G,79.95,True,https://images.migrosone.com/sanalmarket/product/05046663/05046663-cb0150-105x105.jpg,bebek,https://www.migros.com.tr/rest/search/screens/bebek-c-9?reid=1778323219522000001
Humm Organik Çilekli Kurabiye 55 G,97.46,True,https://images.migrosone.com/sanalmarket/product/05060199/05060199_1-8d5cf0-105x105.jpg,bebek,https://www.migros.com.tr/rest/search/screens/bebek-c-9?reid=1778323219522000001
Gerber Organik Muz Yaban Mersini Böğürtlen Elma Püresi 90 G,139.95,True,https://images.migrosone.com/sanalmarket/product/5041030/5041030-c65831-105x105.jpg,bebek,https://www.migros.com.tr/rest/search/screens/bebek-c-9?reid=1778323219522000001
"Uni Baby Hassas Dokunuş Çamaşır Deterjanı 1,5 L",379.95,True,https://images.migrosone.com/sanalmarket/product/30539645/30539645-06b82f-105x105.jpg,bebek,https://www.migros.com.tr/rest/search/screens/bebek-c-9?reid=1778323219522000001
Prima Premium Care Eko 7 Beden 15+ Kg 30'lu,649.95,True,https://images.migrosone.com/sanalmarket/product/31100649/31100649_1-552121-105x105.jpg,bebek,https://www.migros.com.tr/rest/search/screens/bebek-c-9?reid=1778323219522000001
Humm Organic Keçiboynuzlu Vegan Kurabiye 55 G,97.46,True,https://images.migrosone.com/sanalmarket/product/05060010/05060010-3a7866-105x105.jpg,bebek,https://www.migros.com.tr/rest/search/screens/bebek-c-9?reid=1778323219522000001
Humm Organic Tahinli Pekmezli Vegan Kurabiye 55 G,97.46,True,https://images.migrosone.com/sanalmarket/product/05040584/05040584-f3fafb-105x105.jpg,bebek,https://www.migros.com.tr/rest/search/screens/bebek-c-9?reid=1778323219522000001
Uni Baby Çamaşır Yumuşatıcı 1500 Ml,199.95,True,https://images.migrosone.com/sanalmarket/product/30580456/30580456-458c51-105x105.jpg,bebek,https://www.migros.com.tr/rest/search/screens/bebek-c-9?reid=1778323219522000001
Sleepy Doğal Zeytinyağlı Islak Havlu 90'lı,65.95,True,https://images.migrosone.com/sanalmarket/product/31032229/31032229-507326-105x105.jpg,bebek,https://www.migros.com.tr/rest/search/screens/bebek-c-9?reid=1778323219522000001
Humm Organic Organik Grissini Pancarlı 55 G,97.46,True,https://images.migrosone.com/sanalmarket/product/05060082/05060082-299e20-105x105.jpg,bebek,https://www.migros.com.tr/rest/search/screens/bebek-c-9?reid=1778323219522000001
Minies Bebek Bakım Örtüsü 10 Adet 60 x 90 Cm,109.95,True,https://images.migrosone.com/sanalmarket/product/31100926/31100926_1-f5b770-105x105.jpg,bebek,https://www.migros.com.tr/rest/search/screens/bebek-c-9?reid=1778323219522000001
Minies Sıvı Çamaşır Deterjanı 1.500 Ml,185.95,True,https://images.migrosone.com/sanalmarket/product/31600089/31600089-355170-105x105.jpg,bebek,https://www.migros.com.tr/rest/search/screens/bebek-c-9?reid=1778323219522000001
Dalin Kolay Tarama Spreyi 200 Ml,149.95,True,https://images.migrosone.com/sanalmarket/product/31600276/31600276-8d1709-105x105.jpg,bebek,https://www.migros.com.tr/rest/search/screens/bebek-c-9?reid=1778323219522000001
Minies Çamaşır Yumuşatıcı 1.500 Ml,125.95,True,https://images.migrosone.com/sanalmarket/product/31600090/31600090-ff18e3-105x105.jpg,bebek,https://www.migros.com.tr/rest/search/screens/bebek-c-9?reid=1778323219522000001
