name,price,isStock,image_url,category,source_url
Vernel Max Lilyum 1.440 L,199.95,True,https://images.migrosone.com/sanalmarket/product/30573013/30573013_1-dbedca-105x105.jpg,deterjan-temizlik,https://www.migros.com.tr/rest/search/screens/deterjan-temizlik-c-7?reid=1778323095250000001
Migros Ultra Çamaşır Suyu Fresh 1000 Ml,39.95,True,https://images.migrosone.com/sanalmarket/product/30569626/30569626-0c337c-105x105.jpg,deterjan-temizlik,https://www.migros.com.tr/rest/search/screens/deterjan-temizlik-c-7?reid=1778323095250000001
Parex Bubble Sünger Eko Paket 5'li,79.95,True,https://images.migrosone.com/sanalmarket/product/31170006/31170006-0f79be-105x105.jpg,deterjan-temizlik,https://www.migros.com.tr/rest/search/screens/deterjan-temizlik-c-7?reid=1778323095250000001
Omo Active Cold Power Siyahlar İçin Sıvı Deterjan 1500 Ml,399.95,True,https://images.migrosone.com/sanalmarket/product/30530498/30530498_1-742bc8-105x105.jpg,deterjan-temizlik,https://www.migros.com.tr/rest/search/screens/deterjan-temizlik-c-7?reid=1778323095250000001
Omo Active Cold Power Beyazlar ve Renkliler için Sıvı Deterjan 1500 Ml,399.95,True,https://images.migrosone.com/sanalmarket/product/30530497/30530497_1-662ddc-105x105.jpg,deterjan-temizlik,https://www.migros.com.tr/rest/search/screens/deterjan-temizlik-c-7?reid=1778323095250000001
Vernel Max Orkide 1.440 L,199.95,True,https://images.migrosone.com/sanalmarket/product/30573015/30573015_1-c5d834-105x105.jpg,deterjan-temizlik,https://www.migros.com.tr/rest/search/screens/deterjan-temizlik-c-7?reid=1778323095250000001
Sleepy Yüzey Temizlik Havlusu Beyaz Sabun 100'lü,119.95,True,https://images.migrosone.com/sanalmarket/product/31163685/31163685-807e09-105x105.JPG,deterjan-temizlik,https://www.migros.com.tr/rest/search/screens/deterjan-temizlik-c-7?reid=1778323095250000001
Cif Infinite Clean Sprey Lotus + Deniz Tuzu 280 Ml,159.95,True,https://images.migrosone.com/sanalmarket/product/31203769/31203769_1-e25fd4-105x105.jpg,deterjan-temizlik,https://www.migros.com.tr/rest/search/screens/deterjan-temizlik-c-7?reid=1778323095250000001
"Omo Sık Yıkananlar Beyazlar ve Renkliler Toz Deterjanı 7,5 Kg",299.95,True,https://images.migrosone.com/sanalmarket/product/30130626/30130626_1-3be8e5-105x105.jpg,deterjan-temizlik,https://www.migros.com.tr/rest/search/screens/deterjan-temizlik-c-7?reid=1778323095250000001
Flex Eldiven Krem M Beden 100'Lü,139.95,True,https://images.migrosone.com/sanalmarket/product/31180041/31180041-9f5389-105x105.jpg,deterjan-temizlik,https://www.migros.com.tr/rest/search/screens/deterjan-temizlik-c-7?reid=1778323095250000001
Cif Infinite Clean Sprey Misket Limon + Limon Otu 280 Ml,159.95,True,https://images.migrosone.com/sanalmarket/product/31203768/31203768_1-4c0de9-105x105.jpg,deterjan-temizlik,https://www.migros.com.tr/rest/search/screens/deterjan-temizlik-c-7?reid=1778323095250000001
Ariel Dağ Esintisi Beyazlar 7 Kg,339.95,True,https://images.migrosone.com/sanalmarket/product/30130018/30130018_1-72f5e9-105x105.jpg,deterjan-temizlik,https://www.migros.com.tr/rest/search/screens/deterjan-temizlik-c-7?reid=1778323095250000001
Omo Express Fresh Beyaz ve Renkliler 840 Ml,159.95,True,https://images.migrosone.com/sanalmarket/product/30001491/30001491_1-ea688b-105x105.jpg,deterjan-temizlik,https://www.migros.com.tr/rest/search/screens/deterjan-temizlik-c-7?reid=1778323095250000001
Vernel Max Lavanta 1.440 L,199.95,True,https://images.migrosone.com/sanalmarket/product/30573019/30573019_1-a920fb-105x105.jpg,deterjan-temizlik,https://www.migros.com.tr/rest/search/screens/deterjan-temizlik-c-7?reid=1778323095250000001
Migros Ekonomik Çöp Torbası Büyük Boy 20 Adet,74.95,True,https://images.migrosone.com/sanalmarket/product/31205348/31205348-c99424-105x105.jpg,deterjan-temizlik,https://www.migros.com.tr/rest/search/screens/deterjan-temizlik-c-7?reid=1778323095250000001
Omo Active Fresh Cold Power Renkliler için Sıvı Deterjan 1500 Ml,399.95,True,https://images.migrosone.com/sanalmarket/product/30530499/30530499_1-a93f70-105x105.jpg,deterjan-temizlik,https://www.migros.com.tr/rest/search/screens/deterjan-temizlik-c-7?reid=1778323095250000001
Finish Quantum 30 Kapsül Bulaşık Makinesi Deterjanı Tableti,199.95,True,https://images.migrosone.com/sanalmarket/product/30980565/30980565_1-6cb4a3-105x105.jpg,deterjan-temizlik,https://www.migros.com.tr/rest/search/screens/deterjan-temizlik-c-7?reid=1778323095250000001
Migros Ekonomik Orta Boy Çöp Torbası 30'lu,58.95,True,https://images.migrosone.com/sanalmarket/product/31200177/31200177-c13be4-105x105.jpg,deterjan-temizlik,https://www.migros.com.tr/rest/search/screens/deterjan-temizlik-c-7?reid=1778323095250000001
Migros Ekonomik Küçük Boy Çöp Torbası 40 Adet,52.95,True,https://images.migrosone.com/sanalmarket/product/31200176/31200176-c1f3c9-105x105.jpg,deterjan-temizlik,https://www.migros.com.tr/rest/search/screens/deterjan-temizlik-c-7?reid=1778323095250000001
Migros Bulaşık Süngeri - Oluklu 5'Li,37.95,True,https://images.migrosone.com/sanalmarket/product/31170107/31170107-035222-105x105.jpg,deterjan-temizlik,https://www.migros.com.tr/rest/search/screens/deterjan-temizlik-c-7?reid=1778323095250000001
Ernet Çamaşır Sodası 500 G,49.95,True,https://images.migrosone.com/sanalmarket/product/30130014/30130014-203836-105x105.jpg,deterjan-temizlik,https://www.migros.com.tr/rest/search/screens/deterjan-temizlik-c-7?reid=1778323095250000001
Perwoll Renkli Sıvı Deterjan 2.97 L,229.95,True,https://images.migrosone.com/sanalmarket/product/30530016/30530016_1-d69eef-105x105.jpg,deterjan-temizlik,https://www.migros.com.tr/rest/search/screens/deterjan-temizlik-c-7?reid=1778323095250000001
Ariel Dağ Esintisi Renklilere Özel Toz Çamaşır Deterjanı 7 Kg 46 Yıkama,339.95,True,https://images.migrosone.com/sanalmarket/product/30131968/30131968_1-2e4abb-105x105.jpg,deterjan-temizlik,https://www.migros.com.tr/rest/search/screens/deterjan-temizlik-c-7?reid=1778323095250000001
Migros Temizlik Bezi 5'li,36.95,True,https://images.migrosone.com/sanalmarket/product/31163618/31163618-283245-105x105.jpg,deterjan-temizlik,https://www.migros.com.tr/rest/search/screens/deterjan-temizlik-c-7?reid=1778323095250000001
Cif Power & Shine Sprey Banyo İçin Temizleyici ve Kireç Çözücü 750 Ml,79.95,True,https://images.migrosone.com/sanalmarket/product/30733235/30733235_1-a22485-105x105.jpg,deterjan-temizlik,https://www.migros.com.tr/rest/search/screens/deterjan-temizlik-c-7?reid=1778323095250000001
