name,price,isStock,image_url,category,source_url
Sivocat Beyaz Hijyen Ultra Sıkıştırılmış Kedi Kumu 6 L,174.95,True,https://images.migrosone.com/sanalmarket/product/41992962/41992962_1-9681aa-105x105.jpg,evcil-hayvan,https://www.migros.com.tr/rest/search/screens/evcil-hayvan-c-a0?reid=1778323320423000001
Felix Avantajlı Somonlu Ton Balıklı Yaş Mama 4 x 85 G,124.95,True,https://images.migrosone.com/sanalmarket/product/41991918/41991918_1-63a613-105x105.jpeg,evcil-hayvan,https://www.migros.com.tr/rest/search/screens/evcil-hayvan-c-a0?reid=1778323320423000001
Felix Avantajlı Paket Yavru Etli Tavuklu 4 x 85 G,124.95,True,https://images.migrosone.com/sanalmarket/product/41991920/41991920_1-e5e23c-105x105.jpeg,evcil-hayvan,https://www.migros.com.tr/rest/search/screens/evcil-hayvan-c-a0?reid=1778323320423000001
Gourmet Gold Kıyılmış Sığır Etli Yaş Kedi Maması Konserve 85 G,64.9,True,https://images.migrosone.com/sanalmarket/product/41025300/41025300_1-5fd9fd-105x105.jpg,evcil-hayvan,https://www.migros.com.tr/rest/search/screens/evcil-hayvan-c-a0?reid=1778323320423000001
Proline Bentonit Bebek Pudralı Kedi Kumu 5 L,164.95,True,https://images.migrosone.com/sanalmarket/product/41070021/41070021-f48b5a-105x105.jpg,evcil-hayvan,https://www.migros.com.tr/rest/search/screens/evcil-hayvan-c-a0?reid=1778323320423000001
Gourmet Gold Kıyılmış Hindili Yaş Kedi Maması Konserve 85 G,64.9,True,https://images.migrosone.com/sanalmarket/product/41025295/41025295_1-1e9288-105x105.jpg,evcil-hayvan,https://www.migros.com.tr/rest/search/screens/evcil-hayvan-c-a0?reid=1778323320423000001
Whiskas Balıklı Seçim Poşet Yaş Mama 4 x 85 G,124.95,True,https://images.migrosone.com/sanalmarket/product/41025387/41025387-a7c6a0-105x105.jpg,evcil-hayvan,https://www.migros.com.tr/rest/search/screens/evcil-hayvan-c-a0?reid=1778323320423000001
Felix Tavuklu Kedi Çorbası 48 G,25.95,True,https://images.migrosone.com/sanalmarket/product/41992475/41992475_1-804445-105x105.jpg,evcil-hayvan,https://www.migros.com.tr/rest/search/screens/evcil-hayvan-c-a0?reid=1778323320423000001
Ak Kedi Kumu İnce Taneli Marsilya Sabun Kokulu 5 L,189.95,True,https://images.migrosone.com/sanalmarket/product/41079544/41079544-79ac51-105x105.jpg,evcil-hayvan,https://www.migros.com.tr/rest/search/screens/evcil-hayvan-c-a0?reid=1778323320423000001
Gourmet Gold Kıyılmış Tavuklu Yaş Kedi Maması 85 G,64.9,True,https://images.migrosone.com/sanalmarket/product/41025296/41025296_1-9be2bb-105x105.jpg,evcil-hayvan,https://www.migros.com.tr/rest/search/screens/evcil-hayvan-c-a0?reid=1778323320423000001
Joker Kuzu Etli Tam Yaş Yetişkin Köpek Maması 400 G,69.95,True,https://images.migrosone.com/sanalmarket/product/41020274/41020274_1-35184d-105x105.jpg,evcil-hayvan,https://www.migros.com.tr/rest/search/screens/evcil-hayvan-c-a0?reid=1778323320423000001
Felix Party Mix Karışık Okyanus Kedi Ödül Maması 60 G,44.95,True,https://images.migrosone.com/sanalmarket/product/41992477/41992477_1-0c20bb-105x105.jpg,evcil-hayvan,https://www.migros.com.tr/rest/search/screens/evcil-hayvan-c-a0?reid=1778323320423000001
Whiskas Sığırlı Poşet Yaş Mama 85 G,37.95,True,https://images.migrosone.com/sanalmarket/product/41025381/41025381_1-0f4574-105x105.jpg,evcil-hayvan,https://www.migros.com.tr/rest/search/screens/evcil-hayvan-c-a0?reid=1778323320423000001
Purina One Sığır Etli Kısırlaştırılmış Kuru Kedi Maması 450 G,300.0,True,https://images.migrosone.com/sanalmarket/product/41992659/41992659_1-1d57a0-105x105.jpg,evcil-hayvan,https://www.migros.com.tr/rest/search/screens/evcil-hayvan-c-a0?reid=1778323320423000001
