name,price,isStock,image_url,category,source_url
Sensodyne Çok Yönlü Koruma Gelişmiş Beyazlık 50 Ml,299.95,True,https://images.migrosone.com/sanalmarket/product/34013768/34013768_1-dbf9c5-105x105.jpg,kisisel-bakim-kozmetik-saglik,https://www.migros.com.tr/rest/search/screens/kisisel-bakim-kozmetik-saglik-c-8?reid=1778323287088000126
Dalan Family Sıvı Sabun Okyanus 3 L,99.95,True,https://images.migrosone.com/sanalmarket/product/29750033/29750033-0d1bb9-105x105.jpg,kisisel-bakim-kozmetik-saglik,https://www.migros.com.tr/rest/search/screens/kisisel-bakim-kozmetik-saglik-c-8?reid=1778323287088000126
Dove Nemlendirici Sıvı Sabun 450 Ml,159.95,True,https://images.migrosone.com/sanalmarket/product/29789919/29789919_1-5cd661-105x105.jpg,kisisel-bakim-kozmetik-saglik,https://www.migros.com.tr/rest/search/screens/kisisel-bakim-kozmetik-saglik-c-8?reid=1778323287088000126
Colgate Optic White Aninda Beyazlik Diş Macunu 75 Ml,109.95,True,https://images.migrosone.com/sanalmarket/product/34019228/34019228_1-9f9382-105x105.jpg,kisisel-bakim-kozmetik-saglik,https://www.migros.com.tr/rest/search/screens/kisisel-bakim-kozmetik-saglik-c-8?reid=1778323287088000126
Nazar Bio Beyaz Sabun Kokulu Sıvı Arap Sabunu 1 L,59.95,True,https://images.migrosone.com/sanalmarket/product/29753811/29753811_1-7c6cec-105x105.jpg,kisisel-bakim-kozmetik-saglik,https://www.migros.com.tr/rest/search/screens/kisisel-bakim-kozmetik-saglik-c-8?reid=1778323287088000126
Rexona Men Erkek Sprey Deodorant Xtra Cool 200 ml,319.95,True,https://images.migrosone.com/sanalmarket/product/35038208/35038208_1-b215b7-105x105.jpg,kisisel-bakim-kozmetik-saglik,https://www.migros.com.tr/rest/search/screens/kisisel-bakim-kozmetik-saglik-c-8?reid=1778323287088000126
Dalan Family Sıvı Sabun Zeytin Mucizesi 3 L,99.95,True,https://images.migrosone.com/sanalmarket/product/29758732/29758732-6db3f8-105x105.jpg,kisisel-bakim-kozmetik-saglik,https://www.migros.com.tr/rest/search/screens/kisisel-bakim-kozmetik-saglik-c-8?reid=1778323287088000126
Dalan Pembe Gül Güzellik Sabunu 5x70 G,54.95,True,https://images.migrosone.com/sanalmarket/product/29010007/29010007-3937d8-105x105.jpg,kisisel-bakim-kozmetik-saglik,https://www.migros.com.tr/rest/search/screens/kisisel-bakim-kozmetik-saglik-c-8?reid=1778323287088000126
Orkid Ultra Gece Ekstra 16'lı,119.95,True,https://images.migrosone.com/sanalmarket/product/31113668/31113668_1-d68314-105x105.jpeg,kisisel-bakim-kozmetik-saglik,https://www.migros.com.tr/rest/search/screens/kisisel-bakim-kozmetik-saglik-c-8?reid=1778323287088000126
Molped Her Gün Ferahlık Günlük Ped 20'li,12.98,True,https://images.migrosone.com/sanalmarket/product/31110071/31110071-00abda-105x105.jpg,kisisel-bakim-kozmetik-saglik,https://www.migros.com.tr/rest/search/screens/kisisel-bakim-kozmetik-saglik-c-8?reid=1778323287088000126
