source_id,name,price,regular_price,isStock,image_url,brand,unit,subcategory,promotion_label,category,source_url
20000001010248,"Migros Baldo Pirinç 2,5 Kg",185.0,185.0,True,https://images.migrosone.com/sanalmarket/product/01010248/1010248_1-10a750-105x105.jpg,Migros,PIECE,Baldo Pirinç,İyi Fiyat,temel-gida,https://www.migros.com.tr/rest/search/screens/temel-gida-c-5?reid=1778839566511000001&sayfa=1
20000004110419,Yudum Ayçiçek Yağı 4 L Pet,499.95,499.95,True,https://images.migrosone.com/sanalmarket/product/04110419/04110419_1-fb0175-105x105.jpg,Yudum,PIECE,Ayçicek Yağı,"50 TL Sepette 399,95 TL",temel-gida,https://www.migros.com.tr/rest/search/screens/temel-gida-c-5?reid=1778839566511000001&sayfa=1
20000004112441,Migros Ayçiçek Yağı 5 L,399.0,399.0,True,https://images.migrosone.com/sanalmarket/product/04112441/04112441_1-0f0ee3-105x105.jpg,Migros,PIECE,Ayçicek Yağı,İyi Fiyat,temel-gida,https://www.migros.com.tr/rest/search/screens/temel-gida-c-5?reid=1778839566511000001&sayfa=1
20000004133425,Komili Lezzetlik Yumuşak Natürel Sızma Zeytinyağı 1 L,489.95,489.95,True,https://images.migrosone.com/sanalmarket/product/04133425/04133425_1-d9b4b1-105x105.jpg,Komili,PIECE,Sızma Zeytinyağı,"50 TL Sepette 299,95 TL",temel-gida,https://www.migros.com.tr/rest/search/screens/temel-gida-c-5?reid=1778839566511000001&sayfa=1
20000009011332,Migros Domates Salçası 830 G,49.0,49.0,True,https://images.migrosone.com/sanalmarket/product/09011332/09011332_1-c630d9-105x105.jpg,Migros,PIECE,Domates Salçası,İyi Fiyat,temel-gida,https://www.migros.com.tr/rest/search/screens/temel-gida-c-5?reid=1778839566511000001&sayfa=1
20000004110062,Komili Ayçiçek Yağı 5 L,459.95,519.95,True,https://images.migrosone.com/sanalmarket/product/04110062/4110062_1-5f2b02-105x105.jpg,Komili,PIECE,Ayçicek Yağı,"519,95 TL | MİGROSKOP",temel-gida,https://www.migros.com.tr/rest/search/screens/temel-gida-c-5?reid=1778839566511000001&sayfa=1
20000006021102,Billur Tuz Rafine İyotlu Sofra Tuzu 750 G,37.95,37.95,True,https://images.migrosone.com/sanalmarket/product/06021102/billur-tuz-rafine-iyotlu-sofra-tuzu-750-gr-29b318-105x105.jpg,Billur,PIECE,Tuz,,temel-gida,https://www.migros.com.tr/rest/search/screens/temel-gida-c-5?reid=1778839566511000001&sayfa=1
20000005010405,Söke Un 5 Kg,149.95,199.95,True,https://images.migrosone.com/sanalmarket/product/05010405/05010405_1-bcae71-105x105.png,Söke,PIECE,Sade Un,"199,95 TL | MİGROSKOP",temel-gida,https://www.migros.com.tr/rest/search/screens/temel-gida-c-5?reid=1778839566511000001&sayfa=1
20000004110120,Migros Ayçiçek Yağı 5 L Köşeli Pet,399.0,399.0,True,https://images.migrosone.com/sanalmarket/product/04110120/04110120-4bf77c-105x105.jpg,Migros,PIECE,Ayçicek Yağı,İyi Fiyat,temel-gida,https://www.migros.com.tr/rest/search/screens/temel-gida-c-5?reid=1778839566511000001&sayfa=1
20000001010259,Migros Baldo Pirinç 1 Kg,83.95,83.95,True,https://images.migrosone.com/sanalmarket/product/01010259/1010259_1-0e0f87-105x105.jpg,Migros,PIECE,Baldo Pirinç,,temel-gida,https://www.migros.com.tr/rest/search/screens/temel-gida-c-5?reid=1778839566511000001&sayfa=1
20000009024352,Migros Beyaz Sirke 2000ml,37.5,37.5,True,https://images.migrosone.com/sanalmarket/product/09024352/09024352-e5e3d0-105x105.jpg,Migros,PIECE,Sirke,,temel-gida,https://www.migros.com.tr/rest/search/screens/temel-gida-c-5?reid=1778839566511000001&sayfa=1
